"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.858668852E1,6.501663726E1,2.551359569E1,1.489073080E1,8.299999833E-1,4.950000000E1,3.790092468E0,3.208806753E0
4.958676566E1,6.501664292E1,2.551361764E1,1.564774542E1,5.400000215E-1,8.700000000E1,3.790092468E0,3.217052937E0
5.058641842E1,6.501664085E1,2.551363994E1,1.521634713E1,8.500000238E-1,1.438999939E2,3.790092468E0,3.336851597E0
5.158680248E1,6.501663329E1,2.551365865E1,1.444645015E1,1.049999952E0,1.570000000E2,3.790092468E0,3.602837324E0
5.258723545E1,6.501662641E1,2.551367719E1,1.379300804E1,9.499999881E-1,1.513999939E2,4.136973381E0,3.932038307E0
5.358691738E1,6.501662319E1,2.551367926E1,1.200626575E1,7.200000286E-1,1.800000000E2,3.790092468E0,3.852513313E0
5.458704086E1,6.501662191E1,2.551366336E1,9.899578527E0,7.799999714E-1,2.253999939E2,3.790092468E0,3.762897253E0
5.558735222E1,6.501662568E1,2.551363867E1,8.923139589E0,8.899999857E-1,2.580000000E2,3.790092468E0,3.456985712E0
5.658654269E1,6.501662725E1,2.551360737E1,9.054307133E0,1.169999957E0,2.686000061E2,3.790092468E0,3.504031181E0
5.758710633E1,6.501662261E1,2.551354973E1,9.885797163E0,1.679999948E0,2.446000061E2,3.790092468E0,3.509697199E0
5.858668482E1,6.501662030E1,2.551352530E1,1.182970940E1,1.700000018E-1,2.438999939E2,3.790092468E0,3.410135508E0
5.958704383E1,6.501661559E1,2.551351073E1,1.141131667E1,0.000000000E0,NaN,3.790092468E0,3.346948624E0
6.058712076E1,6.501660582E1,2.551349785E1,1.181067450E1,4.099999964E-1,1.831999969E2,3.790092468E0,3.463655949E0
6.158690368E1,6.501660055E1,2.551347654E1,1.122022462E1,9.800000191E-1,2.550000000E2,3.790092468E0,3.199845314E0
6.258716362E1,6.501660565E1,2.551343876E1,1.174616707E1,1.340000033E0,3.045000000E2,3.790092468E0,2.982299805E0
6.358675633E1,6.501661658E1,2.551340533E1,1.294459238E1,1.509999990E0,3.042000122E2,3.790092468E0,2.907844067E0
6.458701925E1,6.501662814E1,2.551337444E1,1.364020957E1,1.539999962E0,3.037999878E2,3.790092468E0,2.673524380E0
6.558662597E1,6.501664333E1,2.551335105E1,1.406751413E1,1.659999967E0,3.182999878E2,3.790092468E0,2.500000000E0
6.658712138E1,6.501665851E1,2.551333398E1,1.512756943E1,1.440000057E0,3.198999939E2,3.790092468E0,2.500000000E0
6.758690091E1,6.501667168E1,2.551331807E1,1.596612871E1,1.309999943E0,3.136000061E2,3.790092468E0,2.500000000E0
6.858665841E1,6.501668433E1,2.551329874E1,1.677679550E1,1.450000048E0,3.117000122E2,3.790092468E0,2.500000000E0
6.958703726E1,6.501669740E1,2.551327774E1,1.778094377E1,1.470000029E0,3.098999939E2,3.790092468E0,2.500000000E0
7.058699971E1,6.501670992E1,2.551325782E1,1.808746027E1,1.460000038E0,3.130000000E2,3.790092468E0,2.500000000E0
7.158748164E1,6.501672091E1,2.551323714E1,1.806975863E1,1.389999986E0,3.070000000E2,3.790092468E0,2.500000000E0
7.258661049E1,6.501672953E1,2.551321175E1,1.784813988E1,1.419999957E0,2.987999878E2,3.790092468E0,2.500000000E0
7.358681804E1,6.501673657E1,2.551318306E1,1.799602888E1,1.539999962E0,2.968999939E2,3.790092468E0,2.500000000E0
7.458659737E1,6.501674526E1,2.551315032E1,1.803027030E1,1.720000029E0,2.990000000E2,3.790092468E0,2.500000000E0
7.558702659E1,6.501675360E1,2.551311995E1,1.824670153E1,1.639999986E0,2.991000061E2,3.790092468E0,2.500000000E0
7.658752320E1,6.501676098E1,2.551308834E1,1.784179533E1,1.720000029E0,3.006000061E2,3.790092468E0,2.500000000E0
7.758694846E1,6.501676982E1,2.551305710E1,1.781640519E1,1.759999990E0,3.062999878E2,3.790092468E0,2.500000000E0
7.858654231E1,6.501677959E1,2.551302773E1,1.813757213E1,1.720000029E0,3.027000122E2,3.790092468E0,2.500000000E0
7.958721429E1,6.501678749E1,2.551299729E1,1.795190390E1,1.710000038E0,3.007000122E2,3.790092468E0,2.500000000E0
8.058669893E1,6.501679714E1,2.551296782E1,1.805688437E1,1.720000029E0,3.042000122E2,3.790092468E0,2.500000000E0
8.158652757E1,6.501681211E1,2.551294290E1,1.902441133E1,1.909999967E0,3.222000122E2,3.790092468E0,2.500000000E0
8.258734632E1,6.501682714E1,2.551291773E1,1.957726545E1,1.899999976E0,3.148999939E2,3.790092468E0,2.500000000E0
8.358718627E1,6.501683644E1,2.551288570E1,1.952166283E1,1.840000033E0,2.981000061E2,3.790092468E0,2.500000000E0
8.458689544E1,6.501684328E1,2.551285503E1,1.946484021E1,1.700000048E0,2.977000122E2,3.790092468E0,2.500000000E0
8.558745387E1,6.501685131E1,2.551282615E1,1.911132507E1,1.669999957E0,3.006000061E2,3.790092468E0,2.500000000E0
8.658716575E1,6.501685953E1,2.551279533E1,1.928844974E1,1.809999943E0,2.972000122E2,3.790092468E0,2.500000000E0
8.758719403E1,6.501686682E1,2.551276457E1,1.903820656E1,1.700000048E0,2.985000000E2,3.790092468E0,2.500000000E0
8.858702294E1,6.501687397E1,2.551273517E1,1.867907655E1,1.740000010E0,3.012000122E2,3.790092468E0,2.500000000E0
8.958718846E1,6.501688118E1,2.551270625E1,1.835845966E1,1.649999976E0,3.030000000E2,3.790092468E0,2.500000000E0
9.058717757E1,6.501688824E1,2.551267469E1,1.819702279E1,1.759999990E0,3.022999878E2,3.790092468E0,2.500000000E0
9.158663335E1,6.501689454E1,2.551264321E1,1.811963159E1,1.730000019E0,3.001000061E2,3.790092468E0,2.500000000E0
9.258678069E1,6.501690187E1,2.551261030E1,1.844208151E1,1.769999981E0,3.000000000E2,3.790092468E0,2.500000000E0
9.358690085E1,6.501690907E1,2.551257987E1,1.863153558E1,1.740000010E0,3.006000061E2,3.790092468E0,2.500000000E0
9.458703434E1,6.501691714E1,2.551254724E1,1.845050621E1,1.860000014E0,3.077999878E2,3.790092468E0,2.500000000E0
9.558653622E1,6.501692701E1,2.551251576E1,1.876410499E1,1.889999986E0,3.067999878E2,3.790092468E0,2.500000000E0
9.658730788E1,6.501693541E1,2.551248237E1,1.883203799E1,1.879999995E0,3.011000061E2,3.790092468E0,2.500000000E0
9.758697819E1,6.501694353E1,2.551244792E1,1.902606983E1,1.860000014E0,3.022000122E2,3.790092468E0,2.500000000E0
9.858724710E1,6.501695131E1,2.551241596E1,1.901081196E1,1.769999981E0,3.028999939E2,3.790092468E0,2.500000000E0
9.958681939E1,6.501696165E1,2.551238355E1,1.900397612E1,1.889999986E0,3.092000122E2,3.790092468E0,2.500000000E0
1.005869490E2,6.501697857E1,2.551236279E1,1.984760056E1,2.089999914E0,3.342000122E2,3.790092468E0,2.500000000E0
1.015873793E2,6.501699871E1,2.551236050E1,1.924835072E1,2.009999990E0,3.592000122E2,3.790092468E0,2.500000000E0
1.025868121E2,6.501701699E1,2.551235824E1,1.961327388E1,1.809999943E0,3.532000122E2,3.790092468E0,2.500000000E0
1.035871932E2,6.501703384E1,2.551234792E1,2.009617940E1,1.740000010E0,3.486000061E2,3.790092468E0,2.500000000E0
1.045870129E2,6.501705153E1,2.551233322E1,2.012718082E1,1.919999957E0,3.425000000E2,3.790092468E0,2.500000000E0
1.055868955E2,6.501706720E1,2.551230789E1,1.973624810E1,1.950000048E0,3.362000122E2,3.790092468E0,2.500000000E0
1.065865329E2,6.501708217E1,2.551228168E1,1.923209551E1,1.940000057E0,3.331000061E2,3.790092468E0,2.500000000E0
1.075874517E2,6.501709406E1,2.551225530E1,1.849387416E1,1.720000029E0,3.263999939E2,3.790092468E0,2.500000000E0
1.085873865E2,6.501710452E1,2.551222864E1,1.820578762E1,1.779999971E0,3.212999878E2,3.790092468E0,2.500000000E0
1.095868990E2,6.501711520E1,2.551220030E1,1.816318459E1,1.870000005E0,3.181000061E2,3.790092468E0,2.500000000E0
1.105865438E2,6.501712609E1,2.551217023E1,1.782175356E1,1.879999995E0,3.166000061E2,3.790092468E0,2.500000000E0
1.115868851E2,6.501713713E1,2.551214529E1,1.759616663E1,1.759999990E0,3.210000000E2,3.790092468E0,2.500000000E0
1.125868880E2,6.501715054E1,2.551212549E1,1.760336638E1,1.850000024E0,3.283999939E2,3.790092468E0,2.500000000E0
1.135869416E2,6.501716519E1,2.551210924E1,1.762173474E1,1.769999981E0,3.312000122E2,3.790092468E0,2.500000000E0
1.145868826E2,6.501717936E1,2.551209358E1,1.756795965E1,1.720000029E0,3.323999939E2,3.790092468E0,2.500000000E0
1.155874854E2,6.501719273E1,2.551207697E1,1.755855750E1,1.730000019E0,3.320000000E2,3.790092468E0,2.500000000E0
1.165873935E2,6.501720718E1,2.551206176E1,1.759316117E1,1.769999981E0,3.350000000E2,3.790092468E0,2.500000000E0
1.175867973E2,6.501722218E1,2.551204760E1,1.747468835E1,1.820000052E0,3.362000122E2,3.790092468E0,2.500000000E0
1.185872119E2,6.501723670E1,2.551203226E1,1.762782228E1,1.759999990E0,3.327000122E2,3.790092468E0,2.500000000E0
1.195866384E2,6.501724988E1,2.551201300E1,1.761683358E1,1.750000000E0,3.262999878E2,3.790092468E0,2.500000000E0
