"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.046388730E-1,1.246593893E-1,-1.443226337E-1,-8.852100372E-1
4.096233000E-1,3.338228166E-1,-7.306170464E-2,-5.637273788E-1
4.146077270E-1,5.110446215E-1,1.549780369E-1,-4.740743637E-1
4.195921540E-1,3.721819520E-1,2.254781723E-1,-4.523658752E-1
4.245765810E-1,9.468752146E-2,1.685831547E-1,-3.321313858E-1
4.295610080E-1,-1.077294052E-1,9.415435791E-2,-4.344463348E-2
4.345454350E-1,-9.016984701E-2,1.195755005E-1,2.985954285E-1
4.395298620E-1,8.413633704E-2,2.761538029E-1,6.510305405E-1
4.445142890E-1,2.931860089E-2,3.533306122E-1,8.911762238E-1
4.494987160E-1,8.251965046E-2,3.329055309E-1,9.401540756E-1
4.544831440E-1,9.035345912E-2,2.253792286E-1,9.706497192E-1
4.594675710E-1,7.206305861E-2,1.167197227E-1,1.091825485E0
4.644519980E-1,1.600784063E-1,7.795619965E-2,9.145488739E-1
4.694364250E-1,-3.714203835E-3,-3.313300610E-1,5.509529114E-1
4.744208520E-1,9.730005264E-2,-4.485492706E-1,4.717855453E-1
4.794052790E-1,6.148374081E-2,-2.627847195E-1,9.104585648E-1
4.843897060E-1,-3.896879554E-1,-1.662983894E-1,1.392838478E0
4.893741330E-1,-6.107681394E-1,-1.543467045E-1,1.653921127E0
4.943585600E-1,-3.468294740E-1,-1.175484657E-1,1.170464516E0
4.993429870E-1,-2.142985463E-1,-1.024188995E-1,4.802131653E-1
5.043274140E-1,-2.243790030E-1,-6.042957306E-2,-3.619480133E-2
5.093118410E-1,-4.362679124E-1,6.589102745E-2,-3.479108810E-1
5.142962690E-1,-3.355464339E-1,3.097853661E-1,-8.318967819E-1
5.192806960E-1,-7.012093663E-1,5.668513775E-1,-6.670894623E-1
5.242651230E-1,-9.079366922E-1,7.036998272E-1,-2.574348450E-2
5.292495500E-1,-6.161731482E-1,8.914458752E-1,-2.685699463E-1
5.342339770E-1,-5.303554535E-1,9.736716747E-1,-8.842592239E-1
5.392184040E-1,-3.715671897E-1,9.611697197E-1,-5.936307907E-1
5.442028310E-1,1.895666122E-2,8.302204609E-1,-3.058681488E-1
5.491872580E-1,2.735445499E-1,6.863150597E-1,-1.773605347E-1
5.541716850E-1,4.215341806E-1,5.342161655E-1,3.539657593E-2
5.591561120E-1,6.391927004E-1,4.357573986E-1,7.549858093E-2
5.641405390E-1,8.073018789E-1,4.289252758E-1,1.551818848E-2
5.691249660E-1,9.027732611E-1,5.415546894E-1,3.180122375E-2
5.741093940E-1,8.073837757E-1,6.640477180E-1,1.376953125E-1
5.790938210E-1,5.429347754E-1,4.692518711E-1,-1.423606873E-1
5.840782480E-1,2.045904398E-1,2.032167912E-1,-4.730815887E-1
5.890626750E-1,5.280939341E-1,-1.444172859E-2,-6.880693436E-1
5.940471020E-1,6.018891335E-1,-1.227202415E-1,-7.836456299E-1
5.990315290E-1,6.572409868E-1,-4.175662994E-1,-9.648847580E-1
6.040159560E-1,6.620079279E-1,-2.999212742E-1,-1.045851707E0
6.090003830E-1,6.241875887E-1,-1.589641571E-1,-9.277477264E-1
6.139848100E-1,4.402945042E-1,-8.152890205E-2,-6.736326218E-1
6.189692370E-1,1.679015160E-1,3.114724159E-2,-3.362092972E-1
6.239536640E-1,-4.989206791E-2,4.488658905E-2,-1.341829300E-1
6.289380910E-1,-2.994304895E-1,8.342504501E-2,-1.373500824E-1
6.339225190E-1,-5.673074126E-1,1.521778107E-1,-3.109245300E-1
6.389069460E-1,-6.540952325E-1,2.327549458E-1,-4.306011200E-1
6.438913730E-1,-7.850770354E-1,3.497390747E-1,-4.020900726E-1
6.488758000E-1,-7.760058045E-1,4.558284283E-1,-4.355373383E-1
6.538602270E-1,-6.905314922E-1,5.427892208E-1,-5.687818527E-1
6.588446540E-1,-6.864420772E-1,5.590748787E-1,-6.016845703E-1
6.638290810E-1,-7.017368674E-1,5.575804710E-1,-7.060432434E-1
6.688135080E-1,-6.033530235E-1,5.012006760E-1,-7.390747070E-1
6.737979350E-1,-4.535881877E-1,3.851802349E-1,-6.679649353E-1
6.787823620E-1,-3.469939828E-1,3.192150593E-1,-7.929601669E-1
6.837667890E-1,-3.170041442E-1,2.367653847E-1,-7.467660904E-1
6.887512160E-1,-3.352668881E-1,2.327766418E-1,-5.162391663E-1
6.937356440E-1,-2.975625396E-1,2.447457314E-1,-3.972482681E-1
6.987200710E-1,-2.385761142E-1,1.586568356E-1,-3.603801727E-1
7.037044980E-1,-1.921022534E-1,1.080768108E-1,-2.290334702E-1
7.086889250E-1,-1.199540496E-1,4.467296600E-2,-7.023715973E-2
7.136733520E-1,-6.427443027E-2,6.397008896E-3,-1.361465454E-1
7.186577790E-1,-7.747972012E-2,-1.177263260E-2,-8.281421661E-2
7.236422060E-1,-9.741669893E-2,-4.368329048E-2,1.841697693E-1
7.286266330E-1,-1.147852540E-1,-4.684138298E-2,3.592157364E-1
7.336110600E-1,-1.015757918E-1,-8.830618858E-2,3.956222534E-1
7.385954870E-1,-1.059437394E-1,-3.941082954E-2,4.465541840E-1
7.435799140E-1,-6.172716618E-2,1.828026772E-2,6.071205139E-1
7.485643410E-1,-2.153539658E-2,7.510805130E-2,6.531219482E-1
7.535487690E-1,-7.544994354E-2,9.322738647E-2,4.806480408E-1
7.585331960E-1,-4.171192646E-2,4.508090019E-2,2.906093597E-1
7.635176230E-1,6.599628925E-2,3.036737442E-3,2.568817139E-2
7.685020500E-1,1.058973074E-1,-3.770852089E-2,-5.696868896E-2
7.734864770E-1,2.219499350E-1,3.536701202E-3,-4.424381256E-2
7.784709040E-1,3.237504959E-1,6.886863708E-2,-1.317434311E-1
7.834553310E-1,3.546605110E-1,6.804537773E-2,-1.952915192E-1
7.884397580E-1,3.441640139E-1,8.230423927E-2,-2.017984390E-1
7.934241850E-1,2.883675098E-1,6.859612465E-2,-1.849746704E-1
7.984086120E-1,1.741820574E-1,1.172118187E-1,-1.164608002E-1
8.033930390E-1,1.593909264E-1,1.417737007E-1,-6.789398193E-2
8.083774660E-1,1.530437469E-1,2.130999565E-1,-3.415012360E-2
8.133618940E-1,1.548697948E-1,2.641091347E-1,8.741378784E-3
8.183463210E-1,6.959795952E-3,3.847045898E-1,1.086502075E-1
8.233307480E-1,-3.362679482E-2,4.028432369E-1,2.892398834E-1
8.283151750E-1,-1.450657845E-2,4.044148922E-1,3.121461868E-1
8.332996020E-1,1.105058193E-2,3.419797421E-1,2.593097687E-1
8.382840290E-1,6.565666199E-2,3.160507679E-1,3.454332352E-1
8.432684560E-1,8.281278610E-2,2.881743908E-1,4.697437286E-1
8.482528830E-1,4.869580269E-2,3.198988438E-1,4.417371750E-1
8.532373100E-1,-7.923007011E-3,3.066997528E-1,3.145112991E-1
8.582217370E-1,-8.282697201E-2,2.492439747E-1,2.075977325E-1
8.632061640E-1,-4.275715351E-2,2.192699909E-1,1.494169235E-1
8.681905910E-1,-3.078794479E-2,2.076001167E-1,1.092147827E-2
8.731750190E-1,-3.607153893E-3,1.718108654E-1,-1.267232895E-1
8.781594460E-1,1.072096825E-2,1.930899620E-1,-1.779680252E-1
8.831438730E-1,6.937873363E-2,2.474033833E-1,-3.004379272E-1
8.881283000E-1,-1.373338699E-2,2.206113338E-1,-3.414688110E-1
8.931127270E-1,-1.468820572E-1,1.467664242E-1,-4.349794388E-1
8.980971540E-1,-1.402959228E-1,1.308915615E-1,-3.758335114E-1
9.030815810E-1,-1.815654635E-1,7.262206078E-2,-2.266368866E-1
9.080660080E-1,-2.889375091E-1,7.158303261E-2,6.939888000E-2
9.130504350E-1,-2.098532319E-1,1.844899654E-1,-5.508041382E-2
9.180348620E-1,-2.461296916E-1,2.777354717E-1,-1.168422699E-1
9.230192890E-1,-2.591678500E-1,3.564338684E-1,-1.401271820E-1
9.280037160E-1,-1.780290008E-1,3.685414791E-1,-1.728248596E-1
9.329881440E-1,-2.268136144E-1,3.719186783E-1,-1.198081970E-1
9.379725710E-1,-2.618026733E-1,3.575413227E-1,-3.411674500E-2
9.429569980E-1,-2.537508011E-1,3.721730709E-1,8.853054047E-2
9.479414250E-1,-1.979466677E-1,3.975942135E-1,2.001304626E-1
9.529258520E-1,-2.281445265E-2,3.672993183E-1,2.721881866E-1
9.579102790E-1,1.799733639E-1,3.244471550E-1,3.430843353E-1
9.628947060E-1,3.008221984E-1,2.879023552E-1,4.556684494E-1
9.678791330E-1,3.736571074E-1,2.525548935E-1,6.002120972E-1
9.728635600E-1,4.228783250E-1,2.040431499E-1,7.337331772E-1
9.778479870E-1,5.009476542E-1,1.470658779E-1,8.753786087E-1
9.828324140E-1,5.365874171E-1,7.199835777E-2,9.539136887E-1
9.878168410E-1,5.544184446E-1,1.218867302E-2,9.650926590E-1
9.928012690E-1,5.357421041E-1,-4.207086563E-2,9.807348251E-1
9.977856960E-1,4.996931553E-1,-6.251549721E-2,1.043630600E0
1.002770123E0,4.417621493E-1,-9.713387489E-2,1.049004555E0
1.007754550E0,3.667199612E-1,-1.503608227E-1,9.545555115E-1
1.012738977E0,2.888223529E-1,-1.650073528E-1,8.893299103E-1
1.017723404E0,2.134960890E-1,-1.935765743E-1,8.720264435E-1
1.022707831E0,1.268383265E-1,-2.027120590E-1,9.022464752E-1
1.027692258E0,3.307378292E-2,-2.307126522E-1,9.179801941E-1
1.032676685E0,-5.465996265E-2,-2.774608135E-1,9.099569321E-1
1.037661112E0,-1.321566105E-1,-3.286087513E-1,8.641834259E-1
1.042645539E0,-2.286236584E-1,-3.839125633E-1,8.379201889E-1
1.047629966E0,-3.063458204E-1,-4.196918011E-1,9.165248871E-1
1.052614394E0,-3.184554279E-1,-4.552028179E-1,9.377202988E-1
1.057598821E0,-4.053111970E-1,-5.241785049E-1,8.832263947E-1
1.062583803E0,-5.216810703E-1,-5.764746666E-1,8.517599106E-1
1.067566719E0,-5.708972216E-1,-5.586013794E-1,1.016619682E0
1.072551146E0,-5.336019993E-1,-5.243525505E-1,1.157956123E0
1.077535573E0,-4.703254998E-1,-6.030199528E-1,1.180674553E0
1.082520000E0,-4.028971493E-1,-6.419222355E-1,1.209290504E0
1.087504427E0,-3.788766265E-1,-6.276507378E-1,1.158225060E0
1.092488854E0,-3.643535078E-1,-5.937669277E-1,1.046894073E0
1.097473281E0,-3.781693578E-1,-5.590801239E-1,8.897647858E-1
1.102457708E0,-4.443122745E-1,-5.612773895E-1,6.773834229E-1
1.107442135E0,-5.205172896E-1,-5.661230087E-1,3.716640472E-1
1.112426563E0,-5.552273989E-1,-5.393822193E-1,9.191894531E-2
1.117410990E0,-5.064777136E-1,-4.995536804E-1,-1.240787506E-1
1.122395417E0,-4.469486475E-1,-4.605267048E-1,-2.624797821E-1
1.127379844E0,-3.865828216E-1,-4.648284912E-1,-3.189973831E-1
1.132364271E0,-3.066995144E-1,-5.405495167E-1,-3.989801407E-1
1.137348698E0,-3.585938811E-1,-4.963352680E-1,-5.692148209E-1
1.142333125E0,-4.829600453E-1,-4.756698608E-1,-6.529779434E-1
1.147317552E0,-5.588443279E-1,-4.687139988E-1,-7.556343079E-1
1.152301979E0,-5.859848261E-1,-5.135967731E-1,-8.437299728E-1
1.157286406E0,-5.836958289E-1,-5.765283108E-1,-8.411369324E-1
1.162270833E0,-5.244260430E-1,-6.334981918E-1,-8.197870255E-1
1.167255260E0,-4.947679043E-1,-6.655089855E-1,-8.417177200E-1
1.172239688E0,-5.044112206E-1,-6.821002960E-1,-8.543376923E-1
1.177224115E0,-5.054736733E-1,-6.737520695E-1,-8.195734024E-1
1.182208542E0,-4.361065030E-1,-6.503510475E-1,-7.423038483E-1
1.187192969E0,-3.681839406E-1,-6.406655312E-1,-6.798858643E-1
1.192177396E0,-2.826173902E-1,-6.640062332E-1,-6.130647659E-1
1.197158073E0,-2.474528998E-1,-6.963269711E-1,-5.942974091E-1
1.202138750E0,-2.478202879E-1,-6.757605076E-1,-5.804090500E-1
1.207119844E0,-2.876287401E-1,-6.551721096E-1,-6.046915054E-1
1.212101458E0,-2.272588611E-1,-6.251211166E-1,-6.574392319E-1
1.217083698E0,-1.566520631E-1,-6.141676903E-1,-7.338361740E-1
1.222066615E0,-8.919683099E-2,-6.126103401E-1,-7.766361237E-1
1.227050260E0,-4.835885763E-2,-5.964417458E-1,-7.240638733E-1
1.232034635E0,-1.015931368E-3,-5.564022064E-1,-4.953584671E-1
1.237019740E0,9.238362312E-3,-5.215590000E-1,-3.152008057E-1
1.242005521E0,1.050114632E-3,-5.396807194E-1,-2.786960602E-1
1.246991875E0,-3.540134430E-2,-5.819795132E-1,-3.184614182E-1
1.251978698E0,-8.597669005E-2,-5.766186714E-1,-3.388814926E-1
1.256965885E0,-1.565560400E-1,-5.948684216E-1,-4.117078781E-1
1.261953281E0,-1.802039146E-1,-6.078166962E-1,-4.605121613E-1
1.266940781E0,-2.282371819E-1,-6.055498123E-1,-5.332660675E-1
1.271928281E0,-2.382488251E-1,-5.832064152E-1,-6.061096191E-1
1.276912813E0,-2.671968639E-1,-5.691347122E-1,-6.935214996E-1
1.281897240E0,-2.762826383E-1,-5.678939819E-1,-7.860145569E-1
1.286881667E0,-2.985533476E-1,-5.793404579E-1,-8.264074326E-1
1.291866094E0,-3.149315715E-1,-5.650873184E-1,-8.340654373E-1
1.296850521E0,-3.258904219E-1,-5.347778797E-1,-7.947940826E-1
1.301834948E0,-3.326706886E-1,-4.788396358E-1,-6.992187500E-1
1.306819375E0,-3.358674645E-1,-4.546597004E-1,-6.047430038E-1
1.311803802E0,-3.162032664E-1,-4.287781715E-1,-5.924301147E-1
1.316788229E0,-2.682625949E-1,-4.153306484E-1,-5.475997925E-1
1.321772656E0,-2.248907089E-1,-3.666689396E-1,-4.751338959E-1
1.326757083E0,-2.185270786E-1,-3.021621704E-1,-3.226518631E-1
1.331741510E0,-1.863136888E-1,-2.555992603E-1,-1.428222656E-1
1.336725938E0,-1.232171655E-1,-2.270145416E-1,4.042911530E-2
1.341710365E0,-3.399813175E-2,-2.547628880E-1,2.605905533E-1
1.346694792E0,-4.156172276E-3,-2.199258804E-1,5.845165253E-1
1.351679219E0,-4.301303625E-2,-1.614906788E-1,8.737344742E-1
1.356663646E0,-1.360506117E-1,-1.754281521E-1,1.009326935E0
1.361648073E0,-2.068205476E-1,-2.238316536E-1,1.054116249E0
1.366632500E0,-2.986728847E-1,-2.782428265E-1,1.070602417E0
1.371616927E0,-3.835216761E-1,-3.007144928E-1,1.035172462E0
1.376601354E0,-5.479884744E-1,-3.248572350E-1,9.767236710E-1
1.381585781E0,-7.206770182E-1,-3.362424374E-1,8.905458450E-1
1.386570208E0,-8.974480629E-1,-3.491234779E-1,7.719593048E-1
1.391554635E0,-1.064501762E0,-3.537430763E-1,6.210145950E-1
1.396539063E0,-1.169927955E0,-3.545629978E-1,4.806461334E-1
1.401523490E0,-1.219167709E0,-3.608877659E-1,3.220939636E-1
1.406507917E0,-1.250820875E0,-3.484077454E-1,1.977272034E-1
1.411492344E0,-1.260493755E0,-3.215219975E-1,9.769916534E-2
1.416476771E0,-1.243571758E0,-2.990260124E-1,5.994510651E-2
