"event","experiment time","system time","system time text"
"START",0.000000000E0,1767209683.355,"2025-12-31 21:34:43.355 UTC+02:00"
"PAUSE",1.922663419E2,1767209875.622,"2025-12-31 21:37:55.622 UTC+02:00"
